text,cmp_code
"We are committed to restoring the role of Canadian science as part of our wider vision of bringing back evidence-based planning and decision-making around climate change, criminal justice, drug policy, harm reduction, homelessness, and more.",303
"3- CREATE A COUNCIL OF CANADIAN GOVERNMENTS TO FIND SOLUTIONS WITHIN CANADA, AND WORK COLLABORATIVELY WITH OUR ALLIES ABROAD",NA
Canada's success has always depended on people working together.,606
We are a country of vast geography and distinct regions.,606
Good and effective government in Canada depends on bringing people together with a shared sense of purpose.,606
"In an era of global insecurity, it is more important than ever that we work together here at home.",606
"In the 21st century, we need to reinvent the way we work as a federation.",301
We need to work together to develop national goals and national strategies.,301
"To this end, we will create a Council of Canadian Governments to address shared challenges and ensure more effective collaboration between the various levels of government in Canada federal, provincial/territorial, municipal/local, and First Nations, Metis and Inuit.",301
"Chaired by the federal government, the Council will regularly bring together the provinces and territories, municipal governments, and Indigenous leadership to ensure constructive collaboration to find real solutions for the problems that concern all Canadians from security to infrastructure to health care.",301
"In order to make progress on these critical issues, it is important that all levels of government are pulling in the same direction.",301
"With a transparent process, a published agenda and a clear path to set in place national strategies on energy, transportation, culture, health care, and climate.",301
It is simply absurd that Canada has more internal domestic barriers to trade and movement of workers than the European Union has among 28 separate and sovereign nation states.,401
"Canadian workers should be free to move anywhere in the country, without worrying about whether their certifications are recognized in one place or another.",401
The Council of Canadian Governments will be the catalyst for a new era of cooperation that establishes common standards to improve interprovincial labour mobility,401
and work towards recognition for international accreditations.,701
"The bottom line is this when our federal, provincial, municipal and First Nations governments work together, we can bring down barriers that restrict our employment opportunities and keep families apart.",301
"From climate change to terrorism, we will work together with our allies to counter threats and ensure a safer world.",107
"We will strengthen our international influence by investing in our diplomatic skills and talent,",107
"and shift our focus and funding away from NATO military contributions,",105
"towards United Nations peacekeeping, poverty alleviation and disaster relief efforts.",107
We will commit to ending poverty globally by contributing 0.7% of GDP to official development assistance.,107
We will not purchase the F-35 stealth fighter jets.,105
We will invest in new military equipment that fits Canada's defence requirements.,104
"We will purchase fixed-wing search and rescue planes, ice-breakers and replace dangerous old military hardware to ensure that threats to our military are not posed by the equipment we give them.",104
We will overhaul our immigration and refugee protection system to ensure that Canada is seen as a welcoming and compassionate home for people fleeing violence and persecution.,705
Our immigration system should welcome and integrate new Canadians over the long term.,705
"The short-term employment focus of the Temporary Foreign Workers Programs both exploits those workers, often denied a route to Canadian citizenship, while denying Canadians those job opportunities.",705
We will reverse numerous changes to our laws that have created two-tiers of Canadian citizenship with some deemed more Canadian than others.,705
The matter of citizenship should never be political.,705
It must be based on facts,705
You are born here or you are naturalized a Canadian citizen.,705
Canadian citizens who violate the law go to jail.,705
But to create the notion that citizenship can be revoked for anything other than fraud in obtaining that citizenship is to move into a shifting and uncertain understanding of what it is to be Canadian.,705
We will act to resolve the confusion created for the lost Canadians€ one million Canadians have effectively been denied recognition of their citizenship including thousands of our war dead.,705
We will repeal as unconstitutional the Foreign Accounts Tax Compliance Act (FATCA).,705
It essentially deprives any Canadian with US connections (even those short of dual citizenship) of full rights to privacy and treats them as a lesser Canadian.,705
We will also repeal Bill C-24 which allows the minister of citizenship to revoke citizenship.,705
Other threats to Canadians will be eliminated with the repeal of Bill C-51.,705
4. REPEAL BILL C-51 TO DEFEND CANADIANS' CHARTER RIGHTS AND PRIVACY,NA
"Presented as an anti-terror€ bill by the Harper Conservatives, Bill C-51 needlessly expands the powers of Canada's spy agencies, without creating the necessary oversight.",201
"At the same time, it actually undermines our policing efforts to abort terrorist plots.",201
It is a dangerous piece of legislation that does not make us safer.,201
"We were the first party to oppose Bill C-51 in the House of Commons,",201
and we will continue to fight to repeal this Bill,201
and defend Canadians' constitutionally guaranteed rights and freedoms.,201
"Among the thousands of ordinary Canadians of all political stripes who spoke out in opposition to Bill C-51, four former Prime Ministers, five former Justices of the Supreme Court, and over 100 independent legal scholars expressed profound concern with this ineffective, harmful, and overreaching new law.",201
Canada already has effective anti-terror laws that do not trample on our rights as egregiously as Bill C-51 does.,201
The RCMP has used these existing powers to keep Canadians safe; for this they deserve Canadians' gratitude.,201
"Bill C-51 allows widespread government surveillance and intrusions into Canadians' privacy, will not make Canadians safer, and, in fact, will make us less safe.",201
"Without any oversight or obligation to share information with RCMP, CSIS is allowed to secretly intervene in suspicious activity without coordinating with other security forces.",201
This is a recipe for disaster.,201
We now know that the Communications Security Establishment Canada (CSEC) already collects millions of Internet communications every day from average Canadians.,201
Canada Border Services also has no review or oversight mechanism.,202
"And none of these agencies, all tasked in one way of another with confronting terrorism, have any oversight individually and no requirement to share information with each other.",202
This is unacceptable.,202
"At a time when the United States is beginning to rebalance the relationship between government surveillance and the privacy of its citizens, the information sharing provisions in Bill C-51 will decisively tip the scales toward unchecked government intervention into our personal lives.",201
"Bill C-51 must be repealed, as it infringes on the political and civil rights granted to all of us under the Canadian Charter.",201
"For these reasons, Green MPs will make the repeal of Bill C-51 a top priority in Parliament.",201
5- REPLACE THE FIRST-PAST-THE-POST SYSTEM WITH PROPORTIONAL REPRESENTATION,NA
Our current voting system is outdated.,202
It is the only voting system that allows a minority of the votes to elect a majority government with 100 percent of the power.,202
It makes voters feel as if their vote just doesn't count.,202
It is time to replace it.,202
The first-past-the-post voting system has lost the confidence of Canadians.,202
Our promise is to replace the first-past-the-post system with a form of proportional representation within the first year of the next Parliament.,202
We will determine the form of proportional representation best suited to Canada through extensive public consultation by an all-party committee.,202
"We will overhaul the Fair€ Elections Act, establishing mechanisms that increase voter participation, and ensure greater fairness, transparency, and accountability in election financing.",202
"We will make the Commissioner of Canada Elections (CCE) responsible for investigations into campaign irregularities, reporting directly to Parliament,",202
and give him or her the power to fully investigate and hold to account anyone who breaks Canada's electoral laws.,202
The Chief Electoral Officer (CEO) should be clearly mandated to encourage voter turnout.,202
Both the CCE and CEO should be appointed by an impartial Public Appointments Commission.,202
"To strengthen local democracy and enhance the freedom of MPs to stand up for the interests of their constituents, we will amend the Elections Act to remove the requirement that party leaders need to sign the nomination papers of candidates, giving this power instead to the local organizations.",202
"In opening up the Elections Act, we will un-do damaging changes made in the Harper era that undermine Canadians' right and ability to vote, whether living within Canada (youth, First Nations, homeless and others) or living overseas.",202
6- DEFEND CANADA'S SOVEREIGNTY,NA
"Of all the damaging things done to Canada in the last nine years, ratifying the Canada-China Investment Treaty in secret, by Cabinet alone, without any parliamentary or public hearings poses the greatest long-term threat to our sovereignty.",406
"The treaty, known as a Foreign Investment Promotion and Protection Agreement or FIPA, is lop-sided, benefiting the Peoples' Republic of China, while providing no advantage to Canada.",406
"In fact, it locks us in until the year 2045, giving State Owned Enterprises (SOEs) of the People's Republic of China (PRC) superior rights to those of Canadian companies.",406
Beijing's SOEs now have the right to bring arbitration claims against Canada in secret tribunals.,406
"These are not courts, but private arbitrations in which arbitrators gain personally and financially through a system that lacks the fairness and predictability of our national courts.",406
"Thanks to Stephen Harper, our sovereignty has been significantly eroded.",305
"In the next parliament, Green MPs will press for legislation to require that any and all complaints from Beijing under this treaty, even early diplomatic complaints, must be made public.",406
We must ensure that all the other party leaders understand that Canadians want to fight for our laws and push back against complaints from SOEs from the People's Republic of China.,406
"If Beijing complains about a municipal by-law or proposed legislative change, such as reversing the damage to the Fisheries Act, Environmental Assessment or Navigable Waters Protection Act, we will not cave.",406
We will not let FIPA-chill cause government to pull back from doing the right thing.,406
"We need a transparent commitment to aggressively defend Canada's policies and decisions, and, if we must, to write a cheque for damages under FIPA, rather than cancel planned laws or repeal existing ones.",406
We will vigorously oppose the Trans-Pacific Partnership (TPP),406
and the Comprehensive Economic Trade Agreement (CETA).,406
Greens will also work with Green MPs in governments around the world to open a full-scale global review of all investor-state agreements with the goal of revising and improving all of them to rebalance rights to democracies and reduce global corporate rule.,406
7- REVERSE HARPER'S LEGACY TO PUT OUR GOVERNMENT BACK ON TRACK,NA
Over the last decade there have been unprecedented changes to the way our government operates,305
"Our government now functions in the least transparent, least accountable, most partisan and divisive manner in Canadian history.",305
The Harper Conservatives' invented the use of omnibus budget bills bills that cover dozens of diverse and unrelated changes to law and policy.,305
"Such bills have been rammed through Parliament time and time again since 2011, without proper study.",305
"With the might makes right€ style of Stephen Harper, over 99 percent of opposition party amendments were routinely rejected.",305
Omnibus budget bills have severely damaged our democracy.,305
"The Harper administration has used omnibus bills to devastate centuries-old environmental legislation, curb free speech, and cut billions in funding from health care.",305
"A single omnibus bill in spring 2012 (C-38) changed 70 laws, which even former Conservative ministers said undermined our fisheries and environment.",305
The Green Party will work to end the illegitimate use of omnibus bills.,202
These sweeping bills have no place in our democracy.,202
"In addition to ending the use of omnibus bills, Green MPs will restore all the environmental protections that the Harper government has eliminated over the past ten years.",501
"Due to Stephen Harper's shocking use of prorogation to avoid political embarrassment and confidence votes he knew he would lose, Canada now needs to control access to prorogation by requiring a 2/3 vote in Parliament.",202
We need new rules to require the summoning of a new parliament (within 30 days of an election) and for the dissolution of Parliament.,202
"We will work to end the American-style€ attack politics that is slowly becoming the norm in Canada, slashing the budget of the Prime Minister's Office (PMO) by 50 percent.",202
"The PMO is a taxpayer-funded office that has become a partisan central agency, controlling all government MPs, Cabinet ministers, all operations, and even attempting to force non-partisan civil servants into partisan schemes.",202
The PMO now constitutes a daily contempt of Parliament.,202
"It spews out negative, partisan, and divisive campaigns.",202
"The PMO has exerted control over parliamentary legislative committees, demanding Conservative MPs attack witnesses who disagree with Conservative policy and whipping votes in committee.",202
The PMO has (in violation of our Constitution) also dictated votes in the Senate and even attempted to interfere in an audit of Senate expenses.,202
We will slash the advertising budget of the federal government.,202
All contracts must be publicly tendered on a website with decisions being removed from political operatives.,304
We must empower parliamentary committees to fully discharge their oversight responsibilities: appoint committee members for a full session of Parliament;,202
select chairs through secret ballots,202
and ensure adequate budgets;,202
"strengthen the mandates and establish genuine independence for officers of parliament (Parliamentary Budget Officer, Privacy and Information Commissioners, Auditor General, Commissioner for the Environment and Sustainable Development, Science Advisor, National Security Advisor).",304
"We will overhaul Accountability,",303
"Conflict of Interest,",304
Privacy,201
and Access to Information legislation.,201
It is time to curtail patronage through use of an independent Public Appointments Commission.,304
We need to act to diversify and enliven the media in Canada.,403
A robust news media is essential for an informed citizenry and a healthy democracy.,403
Canada's media has become dangerously concentrated in a few hands.,403
Recommendations have been made in numerous reports and Royal Commissions.,403
"It is time to act on these recommendations and apply anti-trust legislation to corporate media,",403
while restoring our public broadcaster and its essential role.,502
We will enshrine in the Constitution the right to a healthy environment.,201
We will act to reform the Senate.,204
A comprehensive proposal for an elected Senate by proportional representation must be developed,204
and approved by Canadians in a national referendum.,202
It is time to grasp the nettle and amend the constitutional amending formula to approve changes through a referendum mechanism.,204
The PMO is not part of our system of government.,202
It is not even mentioned in the Constitution.,202
It was invented in 1970.,202
"While initially exerting a minor level of control it has become too powerful, too centralized, and too unaccountable",202
"€“ its budget needs to be cut""",202
and practices reformed.,202
We must protect the fundamental principle that the prime minister reports to parliament; not the other way around.,202
BOLD CLIMATE ACTION - BECAUSE WE LIVE HERE.,NA
Climate change is both the biggest challenge and the biggest opportunity that Canada has ever faced.,501
"While the consequences of failing to address climate change would be catastrophic, our transition to a green, sustainable economy will create good local jobs, shorter commutes, more livable cities, and cleaner air and water.",416
Our plan is to move to the virtual elimination of fossil fuel use in Canada by mid-century.,501
"Our short-term target is 40 percent below 2005 levels by 2025,",501
while we are calling for 80 percent reductions below 1990 levels by 2050.,501
"These are ambitious targets, yet the scale and urgency of this challenge demands nothing less.",501
"As Canadians, we will rise to this challenge and, in doing so, create a strong, stable, and prosperous economy today and for our children and grandchildren tomorrow.",416
"For Canadians to benefit from this transition, we need to elect Green Members of Parliament. Only Green MPs will stand up to defend our coastlines from increased tanker traffic,",501
"our rivers and parks from reckless pipeline projects,",501
and our economy from further pursuit of high-risk extractive schemes that threaten Canada's long-term prosperity.,416
Only Green MPs will position our economy to reap the full benefits of the inevitable global shift to a fossil-fuel free economy.,416
It is time for Canada to take bold climate action.,501
"BECAUSE WE LIVE HERE, OUR TOP ENVIRONMENTAL PRIORITIES ARE TO:   1- DEFEND OUR COASTAL WATERS FROM RISKY PIPELINES AND OIL TANKERS",NA
Only Green MPs will put our coastal communities first by standing against all new raw bitumen export schemes.,501
"Kinder Morgan proposes a seven-fold increase in oil sands tanker traffic through Vancouver and Burnaby, while Energy East proposes to increase tanker traffic through the Bay of Fundy.",501
"These tankers would carry bitumen from the oil sands, mixed with toxic diluents to make it flow, a mixture that is impossible to clean up if spilled.",501
A single tanker accident would ruin our coast and the lives and livelihoods that depend on its health.,501
"That is why we recognize that the economic, social and environmental consequences of approving these projects is simply too high.",501
We will take a stand and defend our coastline.,501
Poll after poll shows that the people of the West Coast will not allow this risky project.,501
"More than half of British Columbians say they oppose the Kinder Morgan expansion, including more than three-quarters of young British Columbians.",501
Even the Ontario Energy Board has ruled that Energy East poses more risks than benefits.,501
"While the old parties use complaints about process to avoid taking a stand, or even fast track and support these projects outright, the Green Party is the only party standing up for the people and communities threatened by these projects.",305
2- ARREST THE GROWTH IN OIL SANDS EXPANSION,NA
"Protecting existing jobs in the industry,",410
"creating new jobs by upgrading and refining existing production,",410
"and providing skills training for workers who have been laid off or who want to transition to more stable, long-term jobs.",411
This strategy (more Peter Lougheed and less Ralph Klein) would actually help Alberta's economy avoid the disruptive boom and bust cycle.,416
"Given climate realities and volatile international oil prices, expanding oil sands production is simply not on.",416
Most of the bitumen in the Alberta oil sands must remain in the ground.,416
"We will create new jobs in Canada's oil and gas sector by refining the product we already produce, rather than shipping it out raw for refining in other countries.",410
"In addition to increasing our refining capacity, Canada should be home to leading the global clean technology industry an industry that has boomed in other countries like Germany, where over 1.4 million clean-tech jobs generate over 11 percent of the country's GDP.",416
"We need to respect the oil sands workers whose livelihoods still depend on the industry,",701
and to support the tens of thousands of oil sands workers who have recently been laid off.,411
"Canada should provide these workers with retraining to ensure they find good, long-term reliable jobs close to home, not jobs that are vulnerable to cycles of boom and bust and often thousands of kilometres away from their families.",411
"We must also provide urgent support to First Nations living downstream from the oil sands, whose communities and traditional foods are being contaminated by oil sands pollution in the Athabasca water and air sheds, with devastating health consequences.",501
3- IMPLEMENT A ROBUST CANADIAN CLIMATE AND ENERGY STRATEGY,NA
"Partnering with the provinces to price carbon,",501
"implement a Canadian Fee and Dividend Plan,",501
rapidly phase out coal-fired electricity,501
"and transition to a prosperous, decarbonized economy.",416
Climate and energy are two sides of the same coin.,501
"We urgently need a comprehensive, science-based national climate strategy to address rising sea levels, drought, extreme weather events, changing rainfall patterns, increased forest fires, melting permafrost and crumbling Arctic infrastructure.",501
A robust Canadian Climate and Energy Strategy begins with eliminating all fossil fuel subsidies.,501
"Canada currently provides more than $1 billion dollars a year in subsidies to the fossil fuel industry, meaning, on a per capita basis, Canadian taxpayers provide more handouts to the fossil fuel industry than almost every other country in the G20.",501
"Next, we must work together to put a national price on carbon.",501
"In the complete absence of federal leadership, the provinces have taken up the challenge of climate change on their own.",501
"Although some progress has been made, notably in British Columbia, Ontario, and Quebec, this patchwork of climate strategies is an inefficient way to tackle an issue that faces all Canadians.",501
"The Carbon Fee and Dividend Plan is the smartest, most efficient, and most effective way to shift away from burning fossil fuels.",501
"We will place a fee on carbon,",501
and pay the funds it generates directly to every Canadian over age 18 in the form of an annual carbon dividend.,504
"This plan will defend our climate, diversify our energy mix, grow our economy, and ensure energy security for Canadians.",501
Most economists and climate scientists agree that fee and dividend provides an efficient and comprehensive solution to a complicated problem.,501
"British Columbia has had a carbon pricing plan in place since 2008, during which time BC's fuel use has dropped 16 percent, while GDP has outperformed the rest of Canada.",501
"It incentivizes investment in sustainable jobs and green technology, discourages waste and pollution, and puts money directly back into the pockets of average Canadians.",501
"We need to invest in an infrastructure that promotes renewable energy,",501
"and a more robust east-west electricity grid to promote renewable energy transmission between provinces,",501
while reducing the enormous waste in our energy systems.,501
We still waste more than half the energy we use.,501
t's time to save money and reduce pollution by going after waste.,501
4- CREATE A NATIONAL TRANSPORTATION STRATEGY WITH STRICT NEW RULES ON RAIL SAFETY,NA
Strict new rail safety laws and new investment for Canada's rail system €“,411
Restore Canadian railways with new funding,411
and stronger rules to ensure efficient rail travel and safe movement of hazardous industrial goods including oil and gas.,403
Canada's national rail systems are in decline.,411
"In much of Canada, rail routes that once moved thousands of people are abandoned.",411
"Edmonton to Calgary, Saskatoon to Regina, Halifax to Sydney have all been axed, despite their profitability.",411
"Green MPs will re-invest in our national rail systems,",411
"building more train cars in Canada,",411
"increasing train speeds,",411
"phasing in high-speed rail where feasible,",411
and creating green transportation and energy infrastructure corridors in key regions.,501
"An improved rail system will make Canada more economically competitive, create thousands of new jobs, reduce traffic congestion, and provide a fast, inexpensive and safe mode of transport in key commuter corridors.",411
We will develop a national transportation strategy,411
€“ investing in local public transit and expanding VIA Rail to provide more modern, efficient
"We will invest $600 million in 2016-2017,",411
building to $764 million by 2020 in VIA Rail.,411
Rebalancing the relationship between passenger trains and freight cargo will begin with a comprehensive plan to limit the burden on our rail system that has been created by exporting unprocessed oil by rail.,411
"Further, in order to reduce the risk to our communities and ensure that a tragedy like Lac Mgantic can never again occur, we will strengthen Canada's rail safety rules",403
"and give regulators the tools they need to protect our neighbourhoods from train derailments, especially those involving hazardous materials.",403
We will fund the re-routing of tracks for freight and rail yards away from populated areas.,411
5- END THERMAL COAL EXPORTS,NA
Work with provinces to ensure the rapid phase-out of coal fired generation plants within Canada.,501
"Like the now-shuttered asbestos industry, it is wrong for Canada to profit from the export of coal destined to be burned in foreign power plants to create pollution and dirty energy abroad, while at the same time we work to eliminate its use within Canada.",501
"Although solar energy is now cost competitive with the construction of new coal-fired power plants, existing coal-fired infrastructure at home and abroad is keeping the world on an unsustainable path.",501
We must do our part by curtailing the export of thermal coal from Canadian ports.,501
6- DEMONSTRATE CLIMATE LEADERSHIP AT THE UNITED NATIONS CLIMATE SUMMIT IN PARIS,NA
The United Nations 21st Conference of the Parties (COP21) will take place in Paris starting a mere forty days after our federal election,107
"COP21 represents the last, best and only chance for humanity to avert an intensified climate crisis and to prevent runaway global warming.",107
Only by electing Green Members of Parliament can we ensure Canada can lead in these critical negotiations.,305
We are committed to serious action to avert a climate crisis.,305
"Our MPs will always work across party lines, because we understand the only way to make progress is through cooperation and mutual respect.",305
Canada has played a shameful and destructive role at climate negotiations during Stephen Harper's time in power.,305
It is time to restore Canada's role as a leader.,305
"With the old parties' support for new pipelines, increased tanker traffic, and expanded oil sands production, only Green MPs will show the way with realistic and pragmatic climate leadership.",305
We do not care who gets the credit for Canada's return to the world as a climate leader.,305
We just need to be elected to make sure it happens.,305
We will fight to restore Canada's reputation as a nation that makes us proud at a pivotal time in human history.,601
"In this election, we will take back our country and be Canada again.",305
BUILDING A CANADA THAT WORKS.,NA
TOGETHER 2015.,NA
